Date,Price,Discount,lower_bound,upper_bound,Demand
01-01-2022,1.75,0.1,58.40238869,65.14282869,61.77260869
02-01-2022,1.75,0.1,60.93687675,67.67731675,64.30709675
03-01-2022,1.75,0.1,53.98043761,60.72087761,57.35065761
04-01-2022,1.75,0.1,53.98043761,60.72087761,57.35065761
05-01-2022,1.75,0.1,56.69770117,63.43814117,60.06792117
06-01-2022,1.75,0.1,55.22757496,61.96801496,58.59779496
07-01-2022,1.75,0.1,54.8096689,61.5501089,58.1798889
08-01-2022,1.75,0.1,53.93576958,60.67620958,57.30598958
09-01-2022,1.75,0.1,55.58093416,62.32137416,58.95115416
10-01-2022,1.75,0.1,53.9333492,60.6737892,57.3035692
11-01-2022,1.75,0.1,53.79536762,60.53580762,57.16558762
12-01-2022,1.75,0.1,56.1546607,62.8951007,59.5248807
13-01-2022,1.75,0.1,54.44281519,61.18325519,57.81303519
14-01-2022,1.75,0.1,54.54285411,61.28329411,57.91307411
15-01-2022,1.75,0.1,54.76800775,61.50844775,58.13822775
16-01-2022,1.75,0.1,55.26101116,62.00145116,58.63123116
17-01-2022,1.75,0.1,52.27004988,59.01048988,55.64026988
18-01-2022,1.75,0.1,50.6949323,57.4353723,54.0651523
19-01-2022,1.75,0.1,53.3312039,60.0716439,56.7014239
20-01-2022,1.75,0.1,53.75494461,60.49538461,57.12516461
21-01-2022,1.75,0.1,54.55863806,61.29907806,57.92885806
22-01-2022,1.75,0.1,54.66171037,61.40215037,58.03193037
23-01-2022,1.75,0.1,57.52642819,64.26686819,60.89664819
24-01-2022,1.75,0.1,54.20672272,60.94716272,57.57694272
25-01-2022,1.75,0.1,54.20843118,60.94887118,57.57865118
26-01-2022,1.75,0.1,56.36229629,63.10273629,59.73251629
27-01-2022,1.75,0.1,56.79805019,63.53849019,60.16827019
28-01-2022,1.75,0.1,57.22407037,63.96451037,60.59429037
29-01-2022,1.75,0.1,57.29929461,64.03973461,60.66951461
30-01-2022,1.75,0.1,58.39812616,65.13856616,61.76834616
31-01-2022,1.75,0.1,54.34842159,61.08886159,57.71864159
01-02-2022,1.75,0.1,54.55945949,61.29989949,57.92967949
02-02-2022,1.75,0.1,57.57357473,64.31401473,60.94379473
03-02-2022,1.75,0.1,57.35805977,64.09849977,60.72827977
04-02-2022,1.75,0.1,57.47906313,64.21950313,60.84928313
05-02-2022,1.75,0.1,56.22970637,62.97014637,59.59992637
06-02-2022,1.75,0.1,58.77115954,65.51159954,62.14137954
07-02-2022,1.75,0.1,56.31362903,63.05406903,59.68384903
08-02-2022,1.75,0.1,56.32022739,63.06066739,59.69044739
09-02-2022,1.75,0.1,58.96786709,65.70830709,62.33808709
10-02-2022,1.75,0.1,58.35197505,65.09241505,61.72219505
11-02-2022,1.75,0.1,58.96379201,65.70423201,62.33401201
12-02-2022,1.75,0.1,60.13674256,66.87718256,63.50696256
13-02-2022,1.75,0.1,59.87370133,66.61414133,63.24392133
14-02-2022,1.75,0.1,55.06447992,61.80491992,58.43469992
15-02-2022,1.75,0.1,55.18656124,61.92700124,58.55678124
16-02-2022,1.75,0.1,57.65689607,64.39733607,61.02711607
17-02-2022,1.75,0.1,57.01371496,63.75415496,60.38393496
18-02-2022,1.75,0.1,56.42607982,63.16651982,59.79629982
19-02-2022,1.75,0.1,56.94479432,63.68523432,60.31501432
20-02-2022,1.75,0.1,57.35969176,64.10013176,60.72991176
21-02-2022,1.75,0.1,53.30308482,60.04352482,56.67330482
22-02-2022,1.75,0.1,53.38297731,60.12341731,56.75319731
23-02-2022,1.75,0.1,55.56889392,62.30933392,58.93911392
24-02-2022,1.75,0.1,56.4196229,63.1600629,59.7898429
25-02-2022,1.75,0.1,57.08621321,63.82665321,60.45643321
26-02-2022,1.75,0.1,57.18928552,63.92972552,60.55950552
27-02-2022,1.75,0.1,58.28811707,65.02855707,61.65833707
28-02-2022,1.75,0.1,53.85524997,60.59568997,57.22546997
01-03-2022,1.75,0.1,54.05816948,60.79860948,57.42838948
02-03-2022,1.75,0.1,57.10433622,63.84477622,60.47455622
03-03-2022,1.75,0.1,56.89541961,63.63585961,60.26563961
04-03-2022,1.75,0.1,57.59495641,64.33539641,60.96517641
05-03-2022,1.75,0.1,56.34559965,63.08603965,59.71581965
06-03-2022,1.75,0.1,58.87387381,65.61431381,62.24409381
07-03-2022,1.75,0.1,56.33344002,63.07388002,59.70366002
08-03-2022,1.75,0.1,56.33344002,63.07388002,59.70366002
09-03-2022,1.75,0.1,59.01313123,65.75357123,62.38335123
10-03-2022,1.75,0.1,58.39723919,65.13767919,61.76745919
11-03-2022,1.75,0.1,59.00905615,65.74949615,62.37927615
12-03-2022,1.75,0.1,60.16885767,66.90929767,63.53907767
13-03-2022,1.75,0.1,60.04640577,66.78684577,63.41662577
14-03-2022,1.75,0.1,55.69215274,62.43259274,59.06237274
15-03-2022,1.75,0.1,55.81423407,62.55467407,59.18445407
16-03-2022,1.75,0.1,58.18323657,64.92367657,61.55345657
17-03-2022,1.75,0.1,57.54005547,64.28049547,60.91027547
18-03-2022,1.75,0.1,56.95242032,63.69286032,60.32264032
19-03-2022,1.75,0.1,57.3305455,64.0709855,60.7007655
20-03-2022,1.75,0.1,57.6791027,64.4195427,61.0493227
21-03-2022,1.75,0.1,53.65081077,60.39125077,57.02103077
22-03-2022,1.75,0.1,53.74388227,60.48432227,57.11410227
23-03-2022,1.75,0.1,55.92979888,62.67023888,59.30001888
24-03-2022,1.75,0.1,56.78052786,63.52096786,60.15074786
25-03-2022,1.75,0.1,57.44711817,64.18755817,60.81733817
26-03-2022,1.75,0.1,57.36821636,64.10865636,60.73843636
27-03-2022,1.75,0.1,58.4387329,65.1791729,61.8089529
28-03-2022,1.75,0.1,53.87570738,60.61614738,57.24592738
29-03-2022,1.75,0.1,53.8478593,60.5882993,57.2180793
30-03-2022,1.75,0.1,56.03377591,62.77421591,59.40399591
31-03-2022,1.75,0.1,56.46952981,63.20996981,59.83974981
